,x_values,14f,7f,KDE's sum,KDE's top,General KDE
147,76874.3486973948,1.3905050059902164e-06,2.1124571023996265e-06,3.502962108389843e-06,2.1124571023996265e-06,1.4882323818278756e-06
148,77465.33066132266,1.6457374326524852e-06,2.4724045909398717e-06,4.1181420235923565e-06,2.4724045909398717e-06,1.8133646170674553e-06
149,78056.3126252505,1.921800006703603e-06,2.856101390472796e-06,4.777901397176398e-06,2.856101390472796e-06,2.1710083948707865e-06
150,78647.29458917836,2.215121541913455e-06,3.257385328467539e-06,5.472506870380994e-06,3.257385328467539e-06,2.5553314701589452e-06
151,79238.27655310622,2.5212686579330644e-06,3.6688534047886826e-06,6.190122062721747e-06,3.6688534047886826e-06,2.958738666600729e-06
152,79829.25851703408,2.835115068623105e-06,4.082126929483623e-06,6.9172419981067275e-06,4.082126929483623e-06,3.3722425415188942e-06
153,80420.24048096193,3.151057087339853e-06,4.48819202197632e-06,7.639249109316173e-06,4.48819202197632e-06,3.785953107777242e-06
154,81011.22244488979,3.4632594445542202e-06,4.877794103843619e-06,8.34105354839784e-06,4.877794103843619e-06,4.189631990235099e-06
155,81602.20440881765,3.76591438170492e-06,5.241861141372596e-06,9.007775523077516e-06,5.241861141372596e-06,4.573251196374704e-06
156,82193.18637274549,4.0534980469657575e-06,5.571929313293785e-06,9.625427360259543e-06,5.571929313293785e-06,4.927502829861552e-06
157,82784.16833667335,4.321010886825675e-06,5.860546295533249e-06,1.0181557182358923e-05,5.860546295533249e-06,5.244221889127617e-06
158,83375.1503006012,4.564192101181441e-06,6.10163081843821e-06,1.0665822919619651e-05,6.10163081843821e-06,5.5167056499494465e-06
159,83966.13226452906,4.779701338899333e-06,6.290771624726888e-06,1.1070472963626221e-05,6.290771624726888e-06,5.73993447472506e-06
160,84557.11422845692,4.965262885496696e-06,6.425453447084696e-06,1.1390716332581391e-05,6.425453447084696e-06,5.9107146651490415e-06
161,85148.09619238478,5.119768285885469e-06,6.5052013393835855e-06,1.1624969625269056e-05,6.5052013393835855e-06,6.02777011245482e-06
162,85739.07815631264,5.24333283391842e-06,6.53163724279087e-06,1.177497007670929e-05,6.53163724279087e-06,6.091804562537716e-06
163,86330.0601202405,5.3373003176637705e-06,6.50844415871589e-06,1.184574447637966e-05,6.50844415871589e-06,6.105541966193709e-06
164,86921.04208416835,5.404189812297457e-06,6.441234316707819e-06,1.1845424129005275e-05,6.441234316707819e-06,6.073733058037995e-06
165,87512.0240480962,5.447579160574971e-06,6.337319154823363e-06,1.1784898315398333e-05,6.337319154823363e-06,6.003098119087034e-06
166,88103.00601202405,5.471922784314109e-06,6.205381702377906e-06,1.1677304486692014e-05,6.205381702377906e-06,5.90216506264717e-06
167,88693.98797595191,5.4823067965930125e-06,6.055056744636668e-06,1.153736354122968e-05,6.055056744636668e-06,5.780963217007144e-06
168,89284.96993987977,5.484151533778768e-06,5.8964311185864115e-06,1.138058265236518e-05,5.8964311185864115e-06,5.650548216623033e-06
169,89875.95190380763,5.482879479264945e-06,5.739485146605858e-06,1.1222364625870803e-05,5.739485146605858e-06,5.52236040888846e-06
170,90466.93386773548,5.483573581630787e-06,5.593505429769946e-06,1.1077079011400733e-05,5.593505429769946e-06,5.407452900041221e-06
171,91057.91583166334,5.49065558449336e-06,5.4665074068246925e-06,1.0957162991318052e-05,5.49065558449336e-06,5.315658286446714e-06
172,91648.89779559118,5.507614897343751e-06,5.3647115082825265e-06,1.0872326405626278e-05,5.507614897343751e-06,5.2547872284208135e-06
173,92239.87975951904,5.5368150937066665e-06,5.292117901919653e-06,1.082893299562632e-05,5.5368150937066665e-06,5.229960816633801e-06
174,92830.8617234469,5.579397497289267e-06,5.250220826380853e-06,1.082961832367012e-05,5.579397497289267e-06,5.243168891086885e-06
175,93421.84368737476,5.635290512046088e-06,5.237894259676051e-06,1.0873184771722139e-05,5.635290512046088e-06,5.293119039095574e-06
176,94012.82565130261,5.7033210209404375e-06,5.251466980022969e-06,1.0954788000963406e-05,5.7033210209404375e-06,5.375400962729856e-06
177,94603.80761523047,5.781412292924559e-06,5.2849885324020236e-06,1.1066400825326582e-05,5.781412292924559e-06,5.482946232876474e-06
178,95194.78957915833,5.866843292235017e-06,5.33067029056768e-06,1.1197513582802698e-05,5.866843292235017e-06,5.606723071187685e-06
179,95785.77154308619,5.956538520085619e-06,5.3794698877301e-06,1.1336008407815718e-05,5.956538520085619e-06,5.736577428381977e-06
180,96376.75350701404,6.0473562601632114e-06,5.421774691117674e-06,1.1469130951280886e-05,6.0473562601632114e-06,5.862119903880809e-06
181,96967.73547094189,6.136346250239617e-06,5.4481320445310305e-06,1.1584478294770648e-05,6.136346250239617e-06,5.973563605786477e-06
182,97558.71743486974,6.220954521120643e-06,5.449971276632023e-06,1.1670925797752666e-05,6.220954521120643e-06,6.062437644985583e-06
183,98149.6993987976,6.299162063988496e-06,5.420264795892446e-06,1.1719426859880942e-05,6.299162063988496e-06,6.122128658784762e-06
184,98740.68136272546,6.369553520921307e-06,5.354082180301457e-06,1.1723635701222764e-05,6.369553520921307e-06,6.14823172250909e-06
185,99331.66332665332,6.431320749603375e-06,5.249000862091477e-06,1.1680321611694853e-05,6.431320749603375e-06,6.13871631939273e-06
186,99922.64529058117,6.484212753339362e-06,5.105348533969925e-06,1.1589561287309288e-05,6.484212753339362e-06,6.09392908464568e-06
187,100513.62725450903,6.528447457388318e-06,4.926264602585143e-06,1.145471205997346e-05,6.528447457388318e-06,6.016462039108437e-06
188,101104.60921843688,6.564602053164874e-06,4.7175799737499516e-06,1.1282182026914825e-05,6.564602053164874e-06,5.910914691043998e-06
189,101695.59118236473,6.593497480874291e-06,4.4875255460977975e-06,1.1081023026972088e-05,6.593497480874291e-06,5.783573904917445e-06
190,102286.57314629259,6.616089743305223e-06,4.246289632607931e-06,1.0862379375913153e-05,6.616089743305223e-06,5.642030231801317e-06
191,102877.55511022045,6.633376931668404e-06,4.005452891918981e-06,1.0638829823587385e-05,6.633376931668404e-06,5.494746031212091e-06
192,103468.5370741483,6.64632685532892e-06,3.7773360560319723e-06,1.0423662911360892e-05,6.64632685532892e-06,5.350590308002685e-06
193,104059.51903807616,6.655826601484795e-06,3.5743005933274656e-06,1.0230127194812261e-05,6.655826601484795e-06,5.2183574124248836e-06
194,104650.50100200402,6.662652589874257e-06,3.4080452106047804e-06,1.0070697800479037e-05,6.662652589874257e-06,5.106290295791562e-06
195,105241.48296593188,6.6674578875746936e-06,3.2889415232814224e-06,9.956399410856115e-06,6.6674578875746936e-06,5.0216322572531865e-06
196,105832.46492985974,6.670772676668661e-06,3.2254500995591296e-06,9.89622277622779e-06,6.670772676668661e-06,4.970232723332319e-06
197,106423.44689378758,6.673013660268564e-06,3.223653317422056e-06,9.89666697769062e-06,6.673013660268564e-06,4.95623184709037e-06
198,107014.42885771544,6.674498623471985e-06,3.286934148793036e-06,9.96143277226502e-06,6.674498623471985e-06,4.981845494619265e-06
199,107605.4108216433,6.675463101240127e-06,3.4158204140347187e-06,1.0091283515274846e-05,6.675463101240127e-06,5.047266805564709e-06
200,108196.39278557115,6.676076943537149e-06,3.6080027824555053e-06,1.0284079725992654e-05,6.676076943537149e-06,5.150693413685488e-06
201,108787.37474949901,6.6764593613668955e-06,3.85852260165353e-06,1.0534981963020426e-05,6.6764593613668955e-06,5.288481009153519e-06
202,109378.35671342687,6.6766916954569785e-06,4.160113462363e-06,1.083680515781998e-05,6.6766916954569785e-06,5.455414615589606e-06
203,109969.33867735472,6.67682763292059e-06,4.503669280344925e-06,1.1180496913265514e-05,6.67682763292059e-06,5.645079268104168e-06
204,110560.32064128257,6.676900904124759e-06,4.878802627348947e-06,1.1555703531473706e-05,6.676900904124759e-06,5.8503025307363395e-06
205,111151.30260521043,6.676930642999026e-06,5.274450966395115e-06,1.195138160939414e-05,6.676930642999026e-06,6.063633637281537e-06
206,111742.28456913828,6.6769246198505515e-06,5.679485992114622e-06,1.2356410611965173e-05,6.6769246198505515e-06,6.277819325868877e-06
